Station,FS_prop,DA_prop,forcov,foredg
G-04_sat19,0.432432432,0.567567568,7.13,11264.54
G-02_sat19,0.407407407,0.592592593,13.97,7737.66
G-05_sat19,0.2,0.8,18.51,11534.25
G-05_sat18,0.5,0.5,24.46,7192.74
G-07_sat19,0.666666667,0.333333333,39.02,20718.82
G-03_sat10,0,1,50.09,5962.61
G-03_sat16,0.2,0.8,50.5,8597.35
G-05_sat16,1,0,53.74,20932.34
G-02_sat4,0.8,0.2,55.08,11884.3
G-02_sat16,0.111111111,0.888888889,57.88,11207.38
G-02_sat10,0.768115942,0.231884058,58.05,14465.24
G-02_sat14,0.25,0.75,58.74,10349.29
G-11_sat19,0.4,0.6,59.14,14821.37
G-13_sat18,0.666666667,0.333333333,61.35,18294.04
G-02_sat18,1,0,61.62,9351.36
G-11_sat8,0.666666667,0.333333333,66.58,10736.5
G-03_sat11,0.285714286,0.714285714,68.11,12556
G-05_sat14,1,0,69.93,14305.68
G-02_sat2,0.858536585,0.141463415,70.55,13962.71
G-02_sat6,0.756756757,0.243243243,71.96,16233.42
G-02_sat11,0.815789474,0.184210526,72.42,11871.34
G-07_sat14,1,0,75.23,7203.14
G-07_sat16,1,0,76.51,6607.79
G-07_sat4,0.941666667,0.058333333,77.09,6487.79
G-05_sat10,0.625,0.375,77.58,12874.47
G-11_sat18,0.5,0.5,78.15,16097.24
G-07_sat11,0.693548387,0.306451613,79.27,6767.79
G-07_sat10,0.794871795,0.205128205,79.44,6587.79
G-04_sat14,0.571428571,0.428571429,81.73,18567.52
G-07_sat2,0.892523364,0.107476636,84.07,7531.02
G-04_sat18,0.5,0.5,85.8,8312.54
G-07_sat6,0.959183673,0.040816327,87.35,8066.03
G-04_sat16,0.666666667,0.333333333,87.83,10028.33
G-05_sat11,0.625,0.375,89.95,13101.26
G-04_sat10,0.633333333,0.366666667,90.23,11270.89
G-11_sat14,0.8,0.2,95.11,7503.63
G-11_sat6,0,1,95.93,6960.11
G-11_sat16,0.285714286,0.714285714,96.25,6321.6
G-11_sat11,0.8,0.2,96.63,5997.23
G-04_sat11,0.446428571,0.553571429,98.15,6220.13
G-11_sat10,0.461538462,0.538461538,98.59,6197.01
G-01_sat14,0.857142857,0.142857143,99.38,5613.49
G-13_sat16,0.4,0.6,99.55,4880.23
G-06_sat19,0.45,0.55,99.56,4896.52
G-06_sat14,0.56,0.44,99.58,5048.64
G-13_sat10,1,0,99.72,4295.29
G-06_sat18,0.5,0.5,99.79,4244.23
G-13_sat11,0.916666667,0.083333333,99.82,4246.54
G-01_sat6,0.987730061,0.012269939,99.89,4393.49
G-01_sat4,0.971264368,0.028735632,99.92,4233.45
G-01_sat2,0.901639344,0.098360656,99.94,4213.49
G-01_sat10,1,0,99.99,4093.49
G-01_sat11,0.869230769,0.130769231,100,4053.49
G-06_sat10,0.736842105,0.263157895,100,4036.52
G-06_sat11,0.790697674,0.209302326,100,4036.52
G-06_sat16,0.666666667,0.333333333,100,4036.52